bangumi_id,year,title,old_type,new_type,bangumi_platform,has_tv_relation,classification_reason,bangumi_tags,vote_count,score_visible
83327,1971,动物金银岛,movie,movie,3,no,同时含剧场版与电影标签但无 TV 系列关系，归入动画电影,剧场版 / 冒险 / 小说改,35,yes
289176,1971,忍风卡姆依外传 月日贝之卷,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,4,no
311292,1971,无影脚 剧场版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
83321,1971,阿里巴巴与40大盗,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 冒险,11,no
311293,1971,日本民间故事 稻草富翁,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
692064,1971,鹤巢,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
311295,1971,日本漫画电影发展史·漫画电影诞生,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
311298,1971,卖火柴的小女孩 学研版,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 小说改,1,no
654768,1972,动物村的消防员,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
600480,1972,国王的夜莺,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,短片 / 子供向 / 日常 / 小说改,1,no
430240,1972,日本民间故事 猿与蟹,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
600693,1972,桃太郎的故事,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 奇幻 / 子供向,1,no
430238,1972,麻糬树,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
274325,1972,寄生虫的一夜,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,16,no
274323,1972,浴室,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,11,no
83546,1972,长靴猫西部剑客,tv,tv,3,yes,番组计划用户标签标注为 TV,剧场版 / 冒险 / 小说改,17,no
112785,1972,魔犬Liner0011变身！！,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,4,no
28103,1972,熊猫家族,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版 / 原创 / 冒险 / 剧情,202,yes
653903,1973,人寿保险的历史,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
432857,1973,旅途有伴，人间有情,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
600703,1973,霍勒太太,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,短片 / 奇幻 / 子供向 / 日常 / 小说改,1,no
61533,1973,熊猫家族 雨中的马戏团,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版 / 原创 / 子供向 / 剧情,138,yes
210706,1973,熊猫的大冒险,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,5,no
329162,1973,魔神Z 鬼影 魔神出现,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,6,no
311311,1973,日本漫画电影发展史·动画新画帖,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
13871,1973,悲伤的贝拉多娜,movie,movie,3,no,同时含剧场版与原创标签，并有电影证据或无 TV 系列关系，归入动画电影,剧场版 / 小说改,865,yes
115882,1973,魔神Z对恶魔人,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,59,yes
594091,1974,人鱼公主 学研版,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 恋爱 / 子供向 / 日常 / 小说改,2,no
679572,1974,失败的兔子,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
482662,1974,快乐王子,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 小说改,10,no
595697,1974,松鼠的标识,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,短片 / 原创,1,no
692053,1974,烈火G-Men,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版,0,no
653951,1974,红玫瑰白玫瑰,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 小说改,0,no
594400,1974,舌切雀,movie,movie,3,no,未发现与 TV 动画的强关联，归入动画电影,剧场版 / 子供向 / 日常,1,no
274322,1974,波普,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,11,no
220075,1974,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
215007,1974,魔神Z对地狱博士,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,25,no
448680,1974,杰克与豌豆,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,0,no
329164,1974,盖塔机器人 恐龙！东京劫持作战,theatrical,theatrical,3,yes,同时含剧场版与电影标签，且与 TV 系列存在关联，归入剧场版,剧场版,13,no
114705,1974,魔神Z对暗黑大将军,theatrical,theatrical,3,yes,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,58,yes
377552,1974,五个小故事,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,2,no
587981,1975,小狗消防员,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版 / 子供向 / 职场,1,no
432858,1975,怨恨的电话,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,1,no
431542,1975,,theatrical,theatrical,3,no,番组计划用户标签标注为剧场版，且无总集篇标签,剧场版,3,no
