review_status,year,wikipedia_title_zh,wikipedia_title_ja,wikipedia_release_date,wikipedia_url,candidate_1_id,candidate_1_title_cn,candidate_1_title,candidate_1_score,candidate_2_id,candidate_2_title,candidate_2_score,candidate_3_id,candidate_3_title,candidate_3_score,manual_decision,manual_bangumi_id,manual_note,best_japanese_candidate_id,best_japanese_candidate_title,japanese_similarity,core_title_similarity,release_month_day_same,uniqueness_margin,automatic_review_note
likely_translation,2022,特‘刀剑乱舞-花丸-’~月之卷~,特『刀剣乱舞-花丸-』~月ノ巻~,7月8日,https://zh.wikipedia.org/wiki/%E5%88%80%E5%8A%8D%E4%BA%82%E8%88%9E,365706,特『刀剑乱舞-花丸-』~雪月花~花之卷,特『刀剣乱舞-花丸-』~雪月華~華ノ巻,0.8696,365705,特『刀剣乱舞-花丸-』~雪月華~月ノ巻,0.8696,328197,特『刀剣乱舞-花丸-』~雪月華~雪ノ巻,0.8696,,,,365705,特『刀剣乱舞-花丸-』～雪月華～月ノ巻,0.8696,0.8696,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,特‘刀剑乱舞-花丸-’~华之卷~,特『刀剣乱舞-花丸-』~華ノ巻~,9月1日,https://zh.wikipedia.org/wiki/%E5%88%80%E5%8A%8D%E4%BA%82%E8%88%9E,365706,特『刀剑乱舞-花丸-』~雪月花~花之卷,特『刀剣乱舞-花丸-』~雪月華~華ノ巻,0.8696,365705,特『刀剣乱舞-花丸-』~雪月華~月ノ巻,0.8696,328197,特『刀剣乱舞-花丸-』~雪月華~雪ノ巻,0.8696,,,,365706,特『刀剣乱舞-花丸-』～雪月華～華ノ巻,0.8696,0.8696,yes,0.025,未达到保守的自动确认阈值
wikipedia_only,2022,四叠半时光机布鲁斯,四畳半タイムマシンブルース,9月30日,https://zh.wikipedia.org/wiki/%E5%9B%9B%E7%96%8A%E5%8D%8A%E6%99%82%E5%85%89%E6%A9%9F%E8%97%8D%E8%AA%BF,347782,BLUE THERMAL,ブルーサーマル,0.3,341657,怪盗クイーンはサーカスがお好き,0.2857,349442,機動戦士ガンダム ククルス・ドアンの島,0.2609,,,,347782,ブルーサーマル,0.3,0.3,no,0.0143,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 策谋(第4期第1章),銀河英雄伝説 Die Neue These 策謀,9月30日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,381839,银河英雄传说 Die Neue These 策谋 第1章,銀河英雄伝説 Die Neue These 策謀 第1章,0.9388,381842,銀河英雄伝説 Die Neue These 策謀 第3章,0.9302,381841,銀河英雄伝説 Die Neue These 策謀 第2章,0.9302,,,,381839,銀河英雄伝説 Die Neue These 策謀 第1章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 策谋(第4期第2章),銀河英雄伝説 Die Neue These 策謀,10月28日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,381841,银河英雄传说 Die Neue These 策谋 第2章,銀河英雄伝説 Die Neue These 策謀 第2章,0.9388,381842,銀河英雄伝説 Die Neue These 策謀 第3章,0.9302,381839,銀河英雄伝説 Die Neue These 策謀 第1章,0.9302,,,,381841,銀河英雄伝説 Die Neue These 策謀 第2章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
likely_translation,2022,银河英雄传说 Die Neue These 策谋(第4期第3章),銀河英雄伝説 Die Neue These 策謀,11月25日,https://zh.wikipedia.org/wiki/%E9%8A%80%E6%B2%B3%E8%8B%B1%E9%9B%84%E5%82%B3%E8%AA%AA,381842,银河英雄传说 Die Neue These 策谋 第3章,銀河英雄伝説 Die Neue These 策謀 第3章,0.9388,381841,銀河英雄伝説 Die Neue These 策謀 第2章,0.9302,381839,銀河英雄伝説 Die Neue These 策謀 第1章,0.9302,,,,381842,銀河英雄伝説 Die Neue These 策謀 第3章,0.9302,0.9302,yes,0.025,未达到保守的自动确认阈值
wikipedia_only,2022,七大罪:爱丁堡的恩怨 1,七つの大罪 怨嗟のエジンバラ 前編,12月20日,https://zh.wikipedia.org/wiki/%E4%B8%83%E5%A4%A7%E7%BD%AA_(%E6%BC%AB%E7%95%AB),325571,哆啦A梦:大雄的宇宙小战争 2021,映画ドラえもん のび太の宇宙小戦争2021,0.2308,363041,僕が愛したすべての君へ,0.2222,363042,君を愛したひとりの僕へ,0.2222,,,,325571,映画ドラえもん のび太の宇宙小戦争2021,0.1143,0.1212,no,0.0443,未达到保守的自动确认阈值
wikipedia_only,2023,七大罪:爱丁堡的恩怨 2,七つの大罪 怨嗟のエジンバラ 後編,8月8日,https://zh.wikipedia.org/wiki/%E4%B8%83%E5%A4%A7%E7%BD%AA_(%E6%BC%AB%E7%95%AB),453179,银魂ON THEATER 2D 荆棘流氓篇,銀魂オンシアター2D バラガキ篇,0.2,414590,大雪海のカイナ ほしのけんじゃ,0.2,448495,アイドルマスター シャイニーカラーズ 第2章,0.1905,,,,414590,大雪海のカイナ ほしのけんじゃ,0.2069,0.2069,no,0.0069,未达到保守的自动确认阈值
wikipedia_only,2023,少女与战车 最终章 第4话,ガールズ&パンツァー 最終章 第4話,10月6日,https://zh.wikipedia.org/wiki/%E5%B0%91%E5%A5%B3%E8%88%87%E6%88%B0%E8%BB%8A,447189,奇迹少女,Miraculous - Le Film,0.2667,427360,劇場版 ポールプリンセス!!,0.2308,415728,劇場版 美少女戦士セーラームーンCosmos 後編,0.2222,,,,427360,劇場版 ポールプリンセス!!,0.2308,0.2609,no,0.1466,未达到保守的自动确认阈值
likely_translation,2024,赛马娘 Pretty Derby ROAD TO THE TOP(剧场用再编辑版),ウマ娘 プリティーダービー ROAD TO THE TOP,5月10日,https://zh.wikipedia.org/wiki/%E8%B3%BD%E9%A6%AC%E5%A8%98_Pretty_Derby_(%E5%8B%95%E7%95%AB),486264,『赛马娘 巅峰之路』电影剪辑版,劇場用再編集版『ウマ娘 プリティーダービー ROAD TO THE TOP』,0.8727,472620,ウマ娘 プリティーダービー 新時代の扉,0.5854,467732,パリピ孔明 Road to Summer Sonia,0.3913,,,,486264,劇場用再編集版『ウマ娘 プリティーダービー ROAD TO THE TOP』,0.8727,0.8727,yes,0.3124,未达到保守的自动确认阈值
