year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1991,8365,绿林寮,ova,OVA,not_listed,,,1991年11月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,102403,暗黑之猫,ova,OVA,not_listed,,,1991-11-28,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,551097,,ova,OVA,not_listed,,,1991年11月29日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,113005,,ova,OVA,not_listed,,,1991-12-01,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,314706,小北极熊 白熊君，乘船,ova,OVA,not_listed,,,1991年12月1日,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1991,214609,银河女战士 新世纪篇,ova,OVA,not_listed,,,1991年12月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,130058,,ova,OVA,not_listed,,,1991-12-05,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,112470,月光猫少女,ova,OVA,not_listed,,,1991年12月13日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,111927,猴子拳的世界之爱丽丝,ova,OVA,not_listed,,,1991年12月13日,47分钟,47,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1991,97984,,movie,Movie,confirmed,1991年12月14日,,,70分,70,番组计划平台为 Movie，标题未标为剧场版,no
1991,265604,有闲俱乐部 来自香港的爱,movie,Movie,confirmed,1991年12月14日,,,34分,34,番组计划平台为 Movie，标题未标为剧场版,no
1991,620109,机动战士高达F91 完全版,ova,OVA,not_listed,,,1991年12月19日,120分钟,120,番组计划平台为 OVA，且有光碟/影像制品发售记录,no
1991,28632,创龙传,ova,OVA,not_listed,,,1991年12月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,112587,动画艺术视频收藏童话,ova,OVA,not_listed,,,1991年12月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1991,37400,装甲巨神Z骑士,ova,OVA,not_listed,,,1991年12月30日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,310060,,ova,OVA,not_listed,,,1992年3月,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,587984,,movie,Movie,confirmed,1992年,,,11分,11,番组计划平台为 Movie，标题未标为剧场版,no
1992,161772,世界之光 亲鸾圣人,ova,OVA,not_listed,,,1992年6月,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,625249,双莲,movie,Movie,confirmed,1992年,,,13分,13,番组计划平台为 Movie，标题未标为剧场版,no
1992,315454,妈妈温柔的手,movie,Movie,confirmed,1992年,,,23分,23,番组计划平台为 Movie，标题未标为剧场版,no
1992,692066,少年与狸猫,movie,Movie,confirmed,1992年,,,13分钟,13,番组计划平台为 Movie，标题未标为剧场版,no
1992,315632,算了吧！,movie,Movie,confirmed,1992年,,,40分,40,番组计划平台为 Movie，标题未标为剧场版,no
1992,615875,米娜的笑容,ova,OVA,not_listed,,,1992年,16分,16,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,98048,龙珠Z：集聚一堂吧！悟空的世界,ova,OVA,not_listed,,,1992年,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315455,觉醒,movie,Movie,confirmed,1992,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1992,102031,银之男,ova,OVA,not_listed,,,1992年1月10日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,97125,帅气女朋友,ova,OVA,not_listed,,,1992-01-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,46537,三国志 第一部 英雄的黎明,movie,Movie,confirmed,1992年1月25日,,,138分,138,番组计划平台为 Movie，标题未标为剧场版,no
1992,590144,,ova,OVA,not_listed,,,1992年2月10日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,54864,强殖装甲凯普II,ova,OVA,not_listed,,,1992年2月20日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,78036,,ova,OVA,not_listed,,,1992年2月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,37297,熔岩大使,ova,OVA,not_listed,,,1992年2月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,25422,魔动王 冒险篇,ova,OVA,not_listed,,,1992年2月27日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,317749,,movie,Movie,confirmed,1992-03-07,,,41min,41,番组计划平台为 Movie，标题未标为剧场版,no
1992,147056,21卫门 去宇宙! 赤脚的公主,movie,Movie,confirmed,1992年3月7日,,,39分,39,番组计划平台为 Movie，标题未标为剧场版,no
1992,451,哆啦A梦：大雄与云之王国,movie,Movie,confirmed,1992年3月7日,,,97分钟,97,番组计划平台为 Movie，标题未标为剧场版,no
1992,416783,幻法小魔星 剧场版3,theatrical,Movie,confirmed,1992年3月7日,,,30分,30,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1992,424511,空中飞车恋曲,movie,Movie,confirmed,1992年3月7日,,,5分钟,5,番组计划平台为 Movie，标题未标为剧场版,no
1992,45391,龙珠Z 一百亿能量战士们,movie,Movie,confirmed,1992年3月7日,,,46分钟,46,番组计划平台为 Movie，标题未标为剧场版,no
1992,508689,,ova,OVA,not_listed,,,1992年3月13日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,419192,,movie,Movie,confirmed,1992年3月14日,,,31分,31,番组计划平台为 Movie，标题未标为剧场版,no
1992,419191,面包超人：积木城的秘密,movie,Movie,confirmed,1992年3月14日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1992,92434,Sequence,ova,OVA,not_listed,,,1992年3月18日,42分钟,42,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,103181,太平洋上的彩虹,ova,OVA,not_listed,,,1992-03-20,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,37268,巴比伦二世 OVA,ova,OVA,not_listed,,,1992年3月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,104566,琉璃公主,ova,OVA,not_listed,,,1992-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,1583,电影少女,ova,OVA,not_listed,,,1992年3月27日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315428,,ova,OVA,not_listed,,,1992-04-01,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,543509,雪鹿传说,ova,OVA,not_listed,,,1992年4月1日,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,18619,银瞳特搜官,ova,OVA,not_listed,,,1992年4月21日,45分钟,45,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,38163,创世机士格亚斯,ova,OVA,not_listed,,,1992年4月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,543165,,ova,OVA,not_listed,,,1992年4月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,225386,娱乐金鱼眼 剧场版,theatrical,Movie,confirmed,1992年4月25日,,,,,番组计划平台为 Movie，标题明确含剧场版/映画标记,yes
1992,486414,小甜甜 剧场版,theatrical,Movie,confirmed,1992年4月25日,,,26分,26,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1992,315429,,ova,OVA,not_listed,,,1992-05-01,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,508436,,ova,OVA,not_listed,,,1992年5月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,9003,地下幻灯剧画 少女椿,movie,Movie,confirmed,1992年5月2日,,,47分钟,47,番组计划平台为 Movie，标题未标为剧场版,no
1992,37402,KO世纪三兽士,ova,OVA,not_listed,,,1992年5月7日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,622407,辛巴达,ova,OVA,not_listed,,,1992-05-18,50分钟,50,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,3167,超时空要塞II 再爱一次,ova,OVA,not_listed,,,1992年5月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,544222,凯蒂猫 奇幻湖,ova,OVA,not_listed,,,1992年5月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,10762,甲龙传说,ova,OVA,not_listed,,,1992年5月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,57670,大猩猩,ova,OVA,not_listed,,,1992年6月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
