year,bangumi_id,title,type,bangumi_platform,theatrical_status,theatrical_release_dates,other_country_release_dates,home_video_release_dates,runtime,runtime_minutes,classification_reason,metadata_needs_review
1992,37667,幻想叙谭艾尔西亚,ova,OVA,not_listed,,,1992年10月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,325241,,ova,OVA,not_listed,,,1992年10月28日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315452,,ova,OVA,not_listed,,,1992-11-01,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315451,凯蒂猫 圣诞老人丢失的帽子,ova,OVA,not_listed,,,1992-11-01,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,1955,高智能方程式：Cyber Formula 11,ova,OVA,not_listed,,,1992年11月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,544416,,movie,Movie,confirmed,1992-11-14,,,64分钟,64,番组计划平台为 Movie，标题未标为剧场版,no
1992,92949,新超幕末少年世纪,ova,OVA,not_listed,,,1992-11-20,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,88939,时元战国史 黑之狮士 阵内篇,ova,OVA,not_listed,,,1992年11月21日,42分钟,42,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,214788,绿色传奇 乱,ova,OVA,not_listed,,,1992年11月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,93007,弹猫老人欧鲁欧拉内,ova,OVA,not_listed,,,1992年11月26日,30min,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,39532,银河英雄传说 黄金之翼,movie,Movie,confirmed,1992年12月12日,,,60min,60,番组计划平台为 Movie，标题未标为剧场版,no
1992,33509,伊苏 天空的神殿～亚特鲁·克里斯汀的冒险～,ova,OVA,not_listed,,,1992年12月16日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,315453,小小双胞胎,ova,OVA,not_listed,,,1992年12月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,269483,狼之传说,ova,OVA,not_listed,,,1992年12月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,40391,DOWNLOAD 南无阿弥陀佛是爱的诗歌,ova,OVA,not_listed,,,1992年12月18日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,28167,樱桃小丸子：我最喜欢的歌,movie,Movie,confirmed,1992年12月19日,,,92分钟,92,番组计划平台为 Movie，标题未标为剧场版,no
1992,188857,,ova,OVA,not_listed,,,1992-12-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,80191,永远的菲蕾娜,ova,OVA,not_listed,,,1992年12月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,528833,金银岛纪念：被称为夕凪的男人,ova,OVA,not_listed,,,1992年12月21日,7分钟,7,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1992,688640,魔物猎人妖子2,ova,OVA,not_listed,,,1992年12月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,281579,哥伦布的大冒险,ova,OVA,not_listed,,,1992年12月23日,70分钟,70,番组计划平台为 OVA，且有光碟/影像制品发售记录,no
1992,445943,元气爆发伏魔金刚百科,ova,OVA,not_listed,,,1992年12月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1992,92574,破妖之剑 漆黑的魔性,ova,OVA,not_listed,,,1992-12-25,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,473866,,ova,OVA,not_listed,,,1993年,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,588718,,ova,OVA,not_listed,,,1993年,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,665133,,movie,Movie,confirmed,1993年,,,11分钟,11,番组计划平台为 Movie，标题未标为剧场版,no
1993,315576,奇怪的志愿者,movie,Movie,confirmed,1993年,,,46分,46,番组计划平台为 Movie，标题未标为剧场版,no
1993,409980,小狐狸的礼物,movie,Movie,confirmed,1993年,,,30分,30,番组计划平台为 Movie，标题未标为剧场版,no
1993,431751,念佛故事,ova,OVA,not_listed,,,1993年4月,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,473351,纳凉动画 灯泡乌贼祭,movie,Movie,confirmed,1993,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1993,581698,要求很多的餐厅,movie,Movie,confirmed,1993年,,,23分,23,番组计划平台为 Movie，标题未标为剧场版,no
1993,595249,雏祭,ova,OVA,not_listed,,,1993年,19分,19,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,78064,美女万事屋,ova,OVA,not_listed,,,1993年1月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,369749,罗摩衍那：罗摩王子的传说,movie,Movie,confirmed,1993年1月10日（印度国际影展）,,,170分钟,170,番组计划平台为 Movie，标题未标为剧场版,no
1993,226988,,ova,OVA,not_listed,,,1993-01-15,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,284181,少年足球 OVA,ova,OVA,not_listed,,,1993年1月22日,51分钟,51,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,48352,假面骑士SD,ova,OVA,not_listed,,,1993年1月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,665131,小花仙的交通安全,movie,Movie,confirmed,1993年2月15日,,,13分钟,13,番组计划平台为 Movie，标题未标为剧场版,no
1993,315545,,ova,OVA,not_listed,,,1993-02-21,20分钟,20,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,315546,,ova,OVA,not_listed,,,1993-02-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,13549,我的女神 OVA,ova,OVA,not_listed,,,1993年2月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,74792,装甲兵天使,ova,OVA,not_listed,,,1993年2月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,79965,阿尔·卡拉尔的遗产,ova,OVA,not_listed,,,1993年2月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,452,哆啦A梦：大雄与白金迷宫,movie,Movie,confirmed,1993年3月6日,,,100分钟,100,番组计划平台为 Movie，标题未标为剧场版,no
1993,121743,哆啦美与哈啰小恐龙,movie,Movie,confirmed,1993年3月6日,,,41分钟,41,番组计划平台为 Movie，标题未标为剧场版,no
1993,82723,阿拉蕾 企鹅村是大晴天,movie,Movie,confirmed,1993年3月6日,,,40分钟,40,番组计划平台为 Movie，标题未标为剧场版,no
1993,45393,龙珠Z 燃烧吧！热战、烈战、超激战,movie,Movie,confirmed,1993年3月6日,,,72分钟,72,番组计划平台为 Movie，标题未标为剧场版,no
1993,279060,机动战士SD高达祭,movie,Movie,confirmed,1993年3月13日,,,81分钟,81,番组计划平台为 Movie，标题未标为剧场版,no
1993,299906,河童三平,movie,Movie,confirmed,1993-03-13,,,90分,90,番组计划平台为 Movie，标题未标为剧场版,no
1993,46538,三国志 第二部 长江的燃烧,movie,Movie,confirmed,1993年3月20日,,,155分,155,番组计划平台为 Movie，标题未标为剧场版,no
1993,147322,,ova,OVA,not_listed,,,1993年3月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315548,,ova,OVA,not_listed,,,1993-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,112674,云界之迷宫ZEGUY,ova,OVA,not_listed,,,1993年3月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,246193,当你回头的时候,ova,OVA,not_listed,,,1993年3月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,50502,半龙少女,ova,OVA,not_listed,,,1993年3月26日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,289027,大盗五右卫门 次元城的恶梦,ova,OVA,not_listed,,,1993-03-26,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,13618,我是大哥大,ova,OVA,not_listed,,,1993年4月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,688648,魔物猎人妖子3,ova,OVA,not_listed,,,1993年4月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,508438,,ova,OVA,not_listed,,,1993年4月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,614343,,ova,OVA,not_listed,,,1993-04-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315549,凯蒂猫 幸运的青蓝色萤火虫,ova,OVA,not_listed,,,1993-04-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,104215,时尚小鬼花丸,ova,OVA,not_listed,,,1993-04-23,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,78079,沙漠蔷薇 雪之默示录,ova,OVA,not_listed,,,1993年4月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315559,,ova,OVA,not_listed,,,1993-05-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315558,凯蒂猫 奇妙姐妹,ova,OVA,not_listed,,,1993-05-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,112654,银河之鱼,ova,OVA,not_listed,,,1993年5月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,93047,魔法公主明琪桃子 通往梦想之桥,ova,OVA,not_listed,,,1993-05-21,40分,40,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,222990,一个人不寂寞,ova,OVA,not_listed,,,1993年5月28日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,614318,,movie,Movie,confirmed,1993-05-29,,,22分钟,22,番组计划平台为 Movie，标题未标为剧场版,no
1993,490373,KO世纪三兽士II,ova,OVA,not_listed,,,1993年5月31日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,8582,兽兵卫忍风帖,movie,Movie,confirmed,1993年6月5日,,,92分钟,92,番组计划平台为 Movie，标题未标为剧场版,no
1993,315560,,ova,OVA,not_listed,,,1993-06-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,25399,铳梦,ova,OVA,not_listed,,,1993年6月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,37251,NG骑士柠檬汽水&40 DX,ova,OVA,not_listed,,,1993年6月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,63015,星星的轨迹,movie,Movie,confirmed,1993年7月10日,,,76min,76,番组计划平台为 Movie，标题未标为剧场版,no
1993,82725,阿拉蕾 来自企鹅村的爱,movie,Movie,confirmed,1993年7月10日,,,32分钟,32,番组计划平台为 Movie，标题未标为剧场版,no
1993,45394,龙珠Z 银河最强战士,movie,Movie,confirmed,1993年7月10日,,,50分钟,50,番组计划平台为 Movie，标题未标为剧场版,no
1993,114051,,ova,OVA,not_listed,,,1993年7月17日,27分,27,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,414761,剧场版 怪侠佐罗利,theatrical,Movie,confirmed,1993年7月17日,,,,,番组计划平台为 Movie，标题明确含剧场版/映画标记,yes
1993,89701,面包超人：恐龙诺西历险记,movie,Movie,confirmed,1993年7月17日,,,60分,60,番组计划平台为 Movie，标题未标为剧场版,no
1993,614359,,ova,OVA,not_listed,,,1993-07-21,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,315561,凯蒂猫 白雪公主,ova,OVA,not_listed,,,1993-07-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,425214,天才绘理吃金鱼,ova,OVA,not_listed,,,1993年7月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,89501,江户夜未眠,ova,OVA,not_listed,,,1993年7月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,182130,龙珠Z外传：赛亚人灭绝计划,ova,OVA,not_listed,,,1993年7月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,8966,蜡笔小新：动感超人大战泳装魔王,movie,Movie,confirmed,1993年7月24日,,,93分钟,93,番组计划平台为 Movie，标题未标为剧场版,no
1993,104006,铁拳之道 1993,movie,Movie,confirmed,1993年7月24日,,,85分,85,番组计划平台为 Movie，标题未标为剧场版,no
1993,321,机动警察剧场版2 和平保卫战,theatrical,Movie,confirmed,1993年8月7日,,,113分钟,113,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1993,39274,卡辛,ova,OVA,not_listed,,,1993年8月15日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315562,,ova,OVA,not_listed,,,1993-08-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,95013,8号超人After,ova,OVA,not_listed,,,1993年8月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,544186,凯蒂猫 快乐的化妆舞会,ova,OVA,not_listed,,,1993-08-21,30分钟,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,538500,凯蒂猫 阿尔卑斯山少女海蒂,ova,OVA,not_listed,,,1993年8月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,37406,流星机学生霸,ova,OVA,not_listed,,,1993年8月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,78048,吻在眼睛上,ova,OVA,not_listed,,,1993年8月27日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,79948,流氓流氓,ova,OVA,not_listed,,,1993年8月27日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,16493,偶像防卫队,ova,OVA,not_listed,,,1993年9月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315563,凯蒂猫 辉夜姬,ova,OVA,not_listed,,,1993-09-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,602169,贝克鸭的阿拉丁与魔法神灯,ova,OVA,not_listed,,,1993年9月21日,30分,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,80127,难波金融传 南街帝王,ova,OVA,not_listed,,,1993年9月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,52827,人鱼之伤,ova,OVA,not_listed,,,1993年9月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,75627,大战争 神击的红色荒野,ova,OVA,not_listed,,,1993年9月25日,70分,70,番组计划平台为 OVA，且有光碟/影像制品发售记录,no
1993,613710,,ova,OVA,not_listed,,,*1993年10月01日,50分,50,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,53936,超音战士Borgman2 -新世纪2058-,ova,OVA,not_listed,,,1993年10月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,38723,魔神英雄传 永恒传说,ova,OVA,not_listed,,,1993年10月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,94919,寻宝探险记 OVA,ova,OVA,not_listed,,,1993-10-09,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315571,,ova,OVA,not_listed,,,1993-10-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,72337,乱马1/2  珊璞暴变—反转宝珠之祸,ova,OVA,not_listed,,,1993年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,28712,亚尔斯兰战记III 东之城 西之城,ova,OVA,not_listed,,,1993年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,35799,特搜战车队Dominion,ova,OVA,not_listed,,,1993年10月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,74662,战地启示录,ova,OVA,not_listed,,,1993年10月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,161939,暖暖日记,movie,Movie,confirmed,1993年11月13日,,,,,番组计划平台为 Movie，标题未标为剧场版,yes
1993,38326,JOJO的奇妙冒险,ova,OVA,not_listed,,,1993年11月19日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315572,,ova,OVA,not_listed,,,1993-11-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,315573,,ova,OVA,not_listed,,,1993-11-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,621615,,ova,OVA,not_listed,,,1993-11-21,30分,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,574773,X²-DOUBLE X-,ova,OVA,not_listed,,,1993年11月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,220084,伊索童话,ova,OVA,not_listed,,,1993年11月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,285397,凯蒂猫的爱丽丝梦游仙境,movie,Movie,confirmed,1993-11-21,,,31分,31,番组计划平台为 Movie，标题未标为剧场版,no
1993,104003,,ova,OVA,not_listed,,,1993-11-25,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,75232,Fantasia,ova,OVA,not_listed,,,1993年11月26日,30分,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,64174,时间飞船王道复古,ova,OVA,not_listed,,,1993年11月26日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,27358,变身！水手战士,movie,Movie,confirmed,1993年12月5日,,,16 分钟,16,番组计划平台为 Movie，标题未标为剧场版,no
1993,187467,小小男子汉 剧场版,theatrical,Movie,confirmed,1993年12月5日,,,30分钟,30,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1993,5435,美少女战士R剧场版 花朵的约定,theatrical,Movie,confirmed,1993年12月5日,,,61分,61,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1993,37173,超时空世纪02,ova,OVA,not_listed,,,1993年12月5日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,83329,深海的童話,movie,Movie,confirmed,1993年12月11日,,,116min,116,番组计划平台为 Movie，标题未标为剧场版,no
1993,189585,,ova,OVA,not_listed,,,1993-12-17,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,72340,乱马1/2 天道家混乱的圣诞节,ova,OVA,not_listed,,,1993年12月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,35761,地球守护灵,ova,OVA,not_listed,,,1993年12月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,518859,藏青色的记忆 满蒙开拓和少年们,movie,Movie,confirmed,1993年12月18日,,,90分,90,番组计划平台为 Movie，标题未标为剧场版,no
1993,79656,银河英雄传说 新战争的序曲,movie,Movie,confirmed,1993年12月18日,,,90min,90,番组计划平台为 Movie，标题未标为剧场版,no
1993,621616,,ova,OVA,not_listed,,,1993-12-21,30分,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1993,315575,凯蒂猫 盗梦,ova,OVA,not_listed,,,1993-12-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,52787,怪医黑杰克 OVA,ova,OVA,not_listed,,,1993年12月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,688655,魔物猎人妖子 Super Music Clip,ova,OVA,not_listed,,,1993年12月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,41863,亚尔斯兰战记IV 汗血公路,ova,OVA,not_listed,,,1993年12月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,121495,绀碧舰队,ova,OVA,not_listed,,,1993年12月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1993,211167,MOTHER 最后的少女EVE,movie,Movie,confirmed,1993年12月26日,,,75分钟,75,番组计划平台为 Movie，标题未标为剧场版,no
1994,655402,,ova,OVA,not_listed,,,1994年,25分钟,25,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1994,315732,为了所有忘却的故事,movie,Movie,confirmed,1994,,,9分钟,9,番组计划平台为 Movie，标题未标为剧场版,no
1994,594791,鲁滨逊漂流记 无人岛的冒险,movie,Movie,confirmed,1994年,,,40分,40,番组计划平台为 Movie，标题未标为剧场版,no
1994,446864,,ova,OVA,not_listed,,,1994年1月14日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,315664,,ova,OVA,not_listed,,,1994-01-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,66395,银河女警花 FLASH,ova,OVA,not_listed,,,1994年1月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,208186,打飞它吧！广岛东洋鲤鱼诞生物语,movie,Movie,confirmed,1994年1月22日,,,87分,87,番组计划平台为 Movie，标题未标为剧场版,no
1994,112456,热血高校,ova,OVA,not_listed,,,1994-01-28,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,37020,乱马1/2 小茜VS乱马—母亲的味道由我保护,ova,OVA,not_listed,,,1994年2月18日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,315666,凯蒂猫 梦之城堡的公主,ova,OVA,not_listed,,,1994-02-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,315670,可洛比 成为朋友,ova,OVA,not_listed,,,1994-02-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,55681,大铁人 银铃外传,ova,OVA,not_listed,,,1994年2月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,73448,娇娃夏生的危机,ova,OVA,not_listed,,,1994-02-23,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,75235,蓝色蝴蝶鱼,ova,OVA,not_listed,,,1994年2月25日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,453,哆啦A梦：大雄与梦幻三剑士,movie,Movie,confirmed,1994年3月12日,,,99分钟,99,番组计划平台为 Movie，标题未标为剧场版,no
1994,121744,哆啦美与青色稻草人,movie,Movie,confirmed,1994年3月12日,,,15分钟,15,番组计划平台为 Movie，标题未标为剧场版,no
1994,3731,灌篮高手 剧场版,theatrical,Movie,confirmed,1994年3月12日,,,30分钟,30,番组计划平台为 Movie，标题明确含剧场版/映画标记,no
1994,187124,酸梅星王子之从宇宙尽头而来,movie,Movie,confirmed,1994年3月12日,,,30分,30,番组计划平台为 Movie，标题未标为剧场版,no
1994,82726,阿拉蕾 哦呦呦！获救的鲨鱼带我们去……,movie,Movie,confirmed,1994年3月12日,,,25分钟,25,番组计划平台为 Movie，标题未标为剧场版,no
1994,45395,龙珠Z 两人的危机,movie,Movie,confirmed,1994年3月12日,,,52分钟,52,番组计划平台为 Movie，标题未标为剧场版,no
1994,283835,,ova,OVA,not_listed,,,1994-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,315673,,ova,OVA,not_listed,,,1994-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,315675,,ova,OVA,not_listed,,,1994-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,34236,云海奇兵队,ova,OVA,not_listed,,,1994年3月21日,47分钟,47,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1994,315674,可洛比 我们的宝藏,ova,OVA,not_listed,,,1994-03-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,41733,装甲骑兵 荣耀的背后,ova,OVA,not_listed,,,1994年3月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,74934,美少女剑士梅儿 宣传PV,ova,OVA,not_listed,,,1994年4月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,1956,高智能方程式：ZERO,ova,OVA,not_listed,,,1994年4月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,46539,三国志 第三部 辽阔的大地,movie,Movie,confirmed,1994年4月9日,,,147分,147,番组计划平台为 Movie，标题未标为剧场版,no
1994,8804,幽游白书 冥界死斗篇 炎之绊,movie,Movie,confirmed,1994年4月9日,,,93分,93,番组计划平台为 Movie，标题未标为剧场版,no
1994,622056,,ova,OVA,not_listed,,,1994-04-21,21分,21,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1994,93052,乱马1/2 校园吹起风暴！身材剧变的雏子老师,ova,OVA,not_listed,,,1994-04-21,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,56726,新・甜心战士,ova,OVA,not_listed,,,1994年4月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,8968,蜡笔小新：不理不理王国的秘宝,movie,Movie,confirmed,1994年4月23日,,,96分钟,96,番组计划平台为 Movie，标题未标为剧场版,no
1994,112465,治虫和武藏,movie,Movie,confirmed,1994年4月25日,,,18分钟,18,番组计划平台为 Movie，标题未标为剧场版,no
1994,112809,土俵之鬼,movie,Movie,confirmed,1994年5月21日,,,91分,91,番组计划平台为 Movie，标题未标为剧场版,no
1994,36787,Genocyber 虚界之魔兽,ova,OVA,not_listed,,,1994年5月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,112651,正义使者臀娘,ova,OVA,not_listed,,,1994年5月24日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,38901,爆炎学院,ova,OVA,not_listed,,,1994年5月27日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,37407,mars,ova,OVA,not_listed,,,1994年6月10日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,72753,乱马1/2 道场继承者,ova,OVA,not_listed,,,1994年6月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,69028,真·孔雀王,ova,OVA,not_listed,,,1994年6月17日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,18498,意乱情迷～我们的不归路,ova,OVA,not_listed,,,1994年6月21日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,62476,七都市物语—北极海战线,ova,OVA,not_listed,,,1994年6月22日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,93049,魔法公主明琪桃子 旅程中的车站,ova,OVA,not_listed,,,1994-06-22,30分,30,番组计划平台为 OVA；仅见发售记录，单次时长不超过 60 分钟,no
1994,39780,伊利亚：杰拉姆 动画版,ova,OVA,not_listed,,,1994年6月23日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,688671,魔物猎人妖子5 光影霸王之乱,ova,OVA,not_listed,,,1994年7月1日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,74483,同级生 夏天结束时,ova,OVA,not_listed,,,1994年7月8日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,80861,星图传说,ova,OVA,not_listed,,,1994年7月8日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,82727,阿拉蕾 心跳的暑假,movie,Movie,confirmed,1994年7月9日,,,20分钟,20,番组计划平台为 Movie，标题未标为剧场版,no
1994,48928,龙珠Z 击败超战士,movie,Movie,confirmed,1994年7月9日,,,46分钟,46,番组计划平台为 Movie，标题未标为剧场版,no
1994,20866,快乐方程式,ova,OVA,not_listed,,,1994年7月14日,,,番组计划平台为 OVA，且有光碟/影像制品发售记录,yes
1994,89704,,movie,Movie,confirmed,1994年7月16日,,,30分,30,番组计划平台为 Movie，标题未标为剧场版,no
1994,27578,古斯柯布多力传记,movie,Movie,confirmed,1994年7月16日,,,85分钟,85,番组计划平台为 Movie，标题未标为剧场版,no
1994,407,平成狸合战,movie,Movie,confirmed,1994年7月16日,,,119分钟,119,番组计划平台为 Movie，标题未标为剧场版,no
1994,89705,过雪地,movie,Movie,confirmed,1994年7月16日,,,23分,23,番组计划平台为 Movie，标题未标为剧场版,no
